team,facebook_name,facebook_likes,facebook_talking_about_count,facebook_url,twitter_name,twitter_followers,twitter_friends,twitter_favs_count,twitter_statuses,twitter_url,instagram_name,instagram_profile_pic_url,instagram_media,instagram_followers,instagram_follows,instagram_url,hashtags
Angers SCO,NaN,NaN,NaN,NaN,AngersSCO,92791.0,223.0,7799.0,12665.0,http://www.angers-sco.fr/accueil,angers_sco,https://scontent-vie1-1.cdninstagram.com/vp/29477626f3e200f86531c4392b06f372/5B746069/t51.2885-19/11881781_807994382632846_1131524968_a.jpg,551.0,31387.0,91.0,http://www.angers-sco.fr/,#Warmingup #LaForceDuSCO #Ligue1 #Angers #SCORCSA #SCOOGCN ÇaCaille LaForceDuSCO LT Beric TotalRegal IrigoL9 omsco SCOOGCN OMG Laurey SCORCSA mondialmontaigu Angers OMMHSC IrigoL12 TeamSCO SCOOM SCO MondialMontaigu Cestquandmêmehyperloooooong SCOLAVAL Jplus1
Arsenal FC,NaN,NaN,NaN,NaN,Arsenal,13616578.0,156817.0,3775.0,79472.0,https://www.arsenal.com/,arsenalfc_official,https://scontent-vie1-1.cdninstagram.com/vp/ee5c2d1812f6cf9e46f9f7f174d82a8f/5B576E00/t51.2885-19/10735009_366357140186032_230991326_a.jpg,1530.0,221426.0,30.0,http://www.arsenal.com/, BIG17 UEL AFCStadiumTour AFCU23 AFC afc DatGuy AFCvSFC WeAreGunners COYG DatGuyWelbz WeAreTheArsenal CSKMoscow NUFCvAFC semis CSKAvAFC legends Semifinals Songkran arsenal YaGunnersYa
Atalanta,NaN,NaN,NaN,NaN,Atalanta_BC,264897.0,36.0,9996.0,30118.0,http://www.atalanta.it/,atalantabc,https://scontent-vie1-1.cdninstagram.com/vp/c0a61e80dde1403282ef2e2db9fc938c/5B537984/t51.2885-19/s320x320/26070028_273490113180382_8798506746583711744_n.jpg,5006.0,91974.0,55.0,https://www.atalanta.it/,#GoAtalantaGo #Bergamo #Freuler #AtalantaInternEmozioni #AtalantaLife #AtalantaInter #15aprile #Bergamon#AtalantaInter #Moioli #Atalanta #EuAtalanta #Goggia Brambilla AtalantaInter ItaliaUngheria Buongiorno Pasqua AtalantaRoma atalanta Bergamo AtalantaSpal Castagne Mallamo serieA Vorlicky 15aprile AtalantaVivaio AtalantaPrimavera ManOfTheMonth Gasperini AtalantaSamp BuondIndovinello Iličić Spal Primavera1TIM AtalantaStore Derbali Mehić Haas PapuGomez deRoon HappyBirthday weareatalantabergamo JuniorTIMCup Under17 PinaGomes Veratour Mancini AtalantaFootballCamp Goggia Freuler Palomino Latte Toloi Atalanta RizzoPinna 10aprile PapuGome sololadea SpalAtalanta PulciniAtalanta AtalantaNapoli juniortimcup Inter Masiello SerieATIM Hateboer LaScuolaAlloStadio Cristante Moioli ItalianOptic Peli AtalantaLife Carnesecchi Under18 Berisha ManoftheMonth Under16 Gosens EuropaLeague Petagna SPALAtalanta 18aprile Papu Barrow Pulcini GoAtalantaGo Cornelius EuAtalanta ForzaRagazzi CrescendoGiocando 7aprile Caldara Gollini 14aprile
Athletic Bilbao,NaN,NaN,NaN,NaN,AthleticBilbao,13124.0,1298.0,4.0,62597.0,NaN,athleticclub,https://scontent-vie1-1.cdninstagram.com/vp/3d378f4187bd9e6b852f5ecd436c0e12/5B5F966B/t51.2885-19/s320x320/30084223_194724014473483_5717838705025089536_n.jpg,1149.0,181799.0,25.0,http://www.athletic-club.eus/,#futfem #athlive #VillarrealAthletic #athletic #opendeespaña #athleticclub #Repost #AthleticDépor #AthleticCelta Athletic LaLiga
Atlético Madrid,NaN,NaN,NaN,NaN,atletienglish,208125.0,50.0,30.0,18133.0,http://en.atleticodemadrid.com/,atleticodemadrid,https://scontent-vie1-1.cdninstagram.com/vp/5e30f0b97d18262c65739220f43a1426/5B5927BA/t51.2885-19/s320x320/19534151_320426881741663_3380489383391002624_a.jpg,7367.0,4280778.0,48.0,https://goo.gl/f6BLSU,#UELdrawn¡Ya #Jugador5EstrellasATMnn#AúpaAtleti #WandaMetropolitano #AtletiLevante👇 #Atleti #Repost #AtletiLevante #AtléticosAroundTheWorldnAt #EuropaLeague #AtléticodeMadrid #LaLiga #AtléticosDuMonde #Jugador5EstrellasATM #AúpaAtleti #Atlético #GoAtleti #Football #DíaDelNiño #UEL #AtléticosAroundTheWorld #Fútbol #AtléticosPorElMundo🌃n¡Mañana #SportingCPAtleti #Soccer No hashtags found
Bayer Leverkusen,NaN,NaN,NaN,NaN,bayer04fussball,412807.0,92.0,9283.0,33134.0,https://www.bayer04.de/,bayer04fussball,https://scontent-vie1-1.cdninstagram.com/vp/d07a301683e3f86802a6ff7b5edda562/5B5576B7/t51.2885-19/s320x320/28157965_185415828853658_1952375674723368960_n.jpg,3243.0,334762.0,50.0,http://shop.bayer04.de/team/trikots-co/heimtrikot-jako-schwarz-erw-17-18.html,#lastpost #BayArena #Bundesliga #Bayer04 #tha #Neuville #bayer04 #Schuster- #stärkebayer #ready #instariddle #StärkeBayer #Werkself #B04SGE stärkeBayer Kießling B04SGE WerkselfU19 bayerleverkusen Jedvaj StärkeBayer Pressekonferenz Bayer04 Wendell auchRBarenaerfolgreichgelootet Baumi SvenBender WerkselfU17 Bundesliga RBLB04 Hasenhüttl Kies Leverkusen Baumgartlinger W11 Retsos Stärkebayer Upamecano FUT Werkself U19 Manchester Henrichs DFBPokal ElfdesTages Brandt Werks11Fantalk CL Herrlich Kovac BayArena Lomb Havertz fortnitedance Fortnite SGEB04 Mr2021 MitdemKreuzaufderBrust B04FCA W11Fantalk Frey Bender Volland Werks11Radio stärkebayer
Bayern München,NaN,NaN,NaN,NaN,FCBayern,4439145.0,34.0,5343.0,48473.0,https://fcbayern.com/en,fcbayern,https://scontent-vie1-1.cdninstagram.com/vp/0cf5cf45e91122956c993743723291be/5B75611B/t51.2885-19/s320x320/19120497_137699173459975_8227449668729044992_a.jpg,9609.0,12266424.0,38.0,https://fc.bayern/SuperBayern,#RealMadrid #Matchday #😍 #Bundesliga #UCLdraw #ComeToMadrid #FCBBJK #SFCFCB #Lewandowski #FCBFCB #FCBPSG #RMAFCB #⛷ #FCBRMA #Win #RoadtoKyiv #cristianoronaldo #Packmas #audi #AllianzArena: #FCBCFC #packmas #Sevilla #championsleague #ChampionsLeague #weekend #FCBSFC #💪🏻 #FCBayern #FCBRSCA #weekendvibes #FCBBMG #❄️ #skills #CatContent #⚽️ #FlashbackFriday #FCBRMA? # #1️⃣3️⃣ #James #MiaSanMia #audinines #matchday #LewanGOALski #BVBFCB #AllianzArena #😊 #FCBJuve #MiauSanMiau #MiaSanMeister #Starke #snow #MeowSanMeow #❌ #christofschenknnnn#MiaSanMia #champions #Catinho #ElGato #Jupp #🔴⚪️ #Heynckes #UCL #FCBBMG?nnnn#PACKMAS #Wagner #🔥 Kimmich FCBayernTVlive Müller München FCBD98 Vorfreude FCBLFC FCBayern UCLdraw FCBBMG FCBayernSelfie MiauSanMiau ClubWC FCBB04 christofschenk MiaSanMia Bundesliga Süle Wagnered da27 Müllered B04FCB MiaSanMeister RoadtoKyiv FCBRMA Wagner fr7 FCBS04 miasanmia FCBFCA FCBFCS Javi8 WeiterImmerWeiter Ausgleiched audinines PACKMAS FlashbackFriday FCBSVW Alaboom FCBayernTVNews FCBBVB FCBH96 FCBSFC RMAFCB FBCRMA StarkeDieKrake Lewy GoalBae Hecking Packmas Robbery UCL ucl Heynckes Kimmiched FCBWOB packmas Stadiongeruch FCBM05 FCBSCF AllianzArena Jupp Alabooom FCBASR FCBSGE Allianzarena Alaba ThankYou
Bologna FC,NaN,NaN,NaN,NaN,BfcOfficialPage,146055.0,82.0,1456.0,10798.0,https://www.bolognafc.it/,bfc1909_official,https://scontent-vie1-1.cdninstagram.com/vp/a8b0fe466ffba5ce1bb85cdbfb727b09/5B5DBE09/t51.2885-19/10474999_771330282931092_2034352840_a.jpg,1697.0,61863.0,95.0,http://www.bolognafc.it/,#pulgar #BFCVerona #bambini #stadiodallara #WeAreOne #BFCSenzaBarriere #bolognafc1909 #CrotoneBFC #bologna #scuolacalcio #dzemaili #MVP #BFCRoma #bfc1909 #compleanno#hb #bolognafc #DallAraStadiumTour #kisds #🔴🔵 #kidsclub Gotti SampdoriaBFC DiFrancesco Valencia BFCRoma Donadoni PressClub Viareggio BFCAtalanta Palacio Santurro Primavera Bigon BrividoRossoblù DaCosta Taxi BFCVerona Paramatti CrotoneBFC MVPMarzo Nagy Orsolini DeMaio LazioBFC Biavati CiaoFabrizio Torosidis BFCCagliari BFCCCagliari FabrizioFrizzi Bologna Verona BFCSenzaBarriere Mondonico stadio WeAreOne Verdi Keita GRESUI KidsClub
Bor. Mönchengladbach,NaN,NaN,NaN,NaN,borussia,486176.0,125.0,1520.0,20106.0,https://www.borussia.de/wir-sind-borussia-herzlich-willkommen.html,borussia,https://scontent-vie1-1.cdninstagram.com/vp/a6ebb6a53799838471f376b15edd2336/5B5CA38E/t51.2885-19/10467723_510751252386693_601733331_a.jpg,2616.0,226734.0,40.0,http://shop.borussia.de/,#Matchday #Bromance #Bundesliga #football #fohlenelf #Team #bundesliga #mönchengladbach #Borussia-Buddy #weekend #Borussia #FCBBMG #countdown #hazard #smile #Mönchengladbach #matchday #Lieblingssong #Cuisance #happy #fun #History #Fohlenelf #fridayfeeling #sunshine #HappyBirthday #borussia #Focus #ThrowbackThursday #soccer #EinmalBorusseImmerBorusse #Soccer Fohlenelf wasbleibt Fohlenstories SantanderCup Fohlenpodcast BMGBSC sportstudio FCBBMG Fohlenstall Bürofußballer TOTW U23 Mayer catcontent M05BMG U19 Bundesliga Fohlenradio Berggreen U19ChampionsTrophy
Borussia Dortmund,NaN,NaN,NaN,NaN,BVB,3208851.0,937.0,7248.0,71784.0,https://www.bvb.de/,bvb09,https://scontent-vie1-1.cdninstagram.com/vp/e7bccc97c6b0fb161ac9c94abb678aeb/5B6F6BBD/t51.2885-19/s320x320/19122030_764244677101951_1066572844978143232_a.jpg,4147.0,5106264.0,93.0,http://bit.ly/2i1zpEV,#stuttgart #feiertagsmagazin #stöger #bvbvfb #Bundesliga #dortmund #football #Derby #schalke04 #S04BVB #fans #revierderby #signalidunapark #pk #derby #training #echteliebe #tricks #bundesliga #dickel #⚽ #auswärtsspiel #sebastianrode #autogramme #bvb #marcoreus #goals #feiertag #💛 #homegame #borussini #soccer #vfbstuttgart #Batsman #DERBYTIME #autographs #⚽️ #BVB #keeper #mariogötze #s04 #🦇 #reha #s04bvb #veltinsarena #matchday #fun #BorussiaDortmund #win #heimspiel #fcschalke04 #romanbürki #vfb #borussiadortmund #spieltag #Batshuayi #awaygame #schalke #pressekonferenz #gelsenkirchen Derby18 Münster BVB Toprak AusGründen np Bundesliga Malaga Batsman Sonntagsschuss BVBU17 BVBU19 HappyBirthday workhard BVBVFB MondayMotivation s04bvb Derby Piszczek glaskugeltweet Stöger trainhard nonazisdo Wetter BVBII YNWA echteliebe teamwork Akanji UCL OnThisDay servicetweet bvb Fußball U17 trainingsfrei S04BVB BVBVfB bvbvfb Netradio BORUSSEUM Gelsenkirchen deckeldrauf Pulisic Revierderby
